134007	 18 
134008	 14 
134022	 4 
134023	 10 
134024	 4 
134025	 10 
134026	 10 
134028	 9 
134029	 12 
134030	 12 
134041	 10 
134042	 10 
134045	 10 
134046	 10 
134047	 18 
134049	 14 
134050	 18 
134052	 18 
134053	 14 
134054	 18 
134057	 14 
134058	 18 
134059	 14 
134063	 18 
134064	 18 
134065	 18 
134072	 18 
134074	 14 
134075	 18 
134079	 18 
134080	 18 
134081	 18 
134083	 18 
134084	 18 
134086	 18 
134087	 18 
134089	 18 
134092	 18 
134094	 14 
134095	 14 
134096	 14 
134098	 18 
134113	 5 
134114	 5 
134115	 5 
134116	 5 
134119	 5 
134203	 14 
134204	 18 
134205	 18 
134207	 18 
134210	 14 
134211	 18 
134212	 14 
134216	 10 
134217	 18 
134220	 18 
134221	 12 
134222	 12 
134223	 18 
134224	 18 
134226	 18 
134228	 14 
134231	 18 
134232	 14 
134233	 14 
134234	 18 
134235	 14 
134236	 14 
134237	 18 
134238	 18 
134241	 10 
134242	 18 
134243	 14 
134244	 14 
134245	 18 
134246	 18 
134247	 14 
134248	 18 
134250	 10 
134252	 15 
134254	 14 
134256	 14 
134257	 18 
134258	 18 
134259	 14 
134265	 14 
134308	 4 
134709	 4 
134710	 4 
134711	 4 
135304	 5 
135305	 5 
135307	 5 
135308	 5 
135309	 5 
135311	 5 
135315	 10 
135318	 10 
135321	 4 
135322	 18 
135324	 18 
135328	 15 
135330	 12 
135331	 9 
135335	 5 
135339	 10 
135340	 10 
135341	 10 
135345	 14 
135347	 18 
135348	 18 
135349	 14 
135350	 14 
135352	 18 
135353	 10 
135354	 14 
135355	 14 
135356	 14 
135358	 18 
135517	 5 
136502	 5 
210918	 18 
327001	 3 
327002	 3 
327003	 3 
327028	 2 
327029	 2 
327036	 2 
327037	 2 
327038	 3 
327039	 3 
327040	 3 
327041	 2 
327042	 2 
327043	 2 
327044	 2 
327045	 2 
327047	 2 
327048	 2 
327052	 3 
327053	 2 
327054	 3 
327055	 3 
327056	 3 
327057	 3 
336114	 2 
336114	 2 
336115	 2 
336117	 2 
336118	 2 
336119	 2 
518204	 5 
518205	 5 
518206	 5 
631003	 240 
631013	 239 
631024	 1.265 
631025	 234 
631030	 239 
631031	 238 
631032	 1.264 
631033	 240 
631034	 240 
631035	 20 
631037	 1.263 
631041	 235 
631043	 242 
631046	 1.261 
631050	 239 
631052	 240 
631054	 239 
631056	 239 
631059	 1.296 
631060	 240 
631061	 240 
631062	 240 
631063	 239 
631064	 1.300 
631065	 235 
631066	 235 
631067	 238 
631068	 239 
631069	 1.309 
631070	 240 
631071	 1.307 
631072	 1.262 
631074	 241 
631075	 234 
631076	 237 
631077	 234 
631080	 235 
631081	 240 
631083	 234 
631084	 240 
631085	 235 
631086	 236 
631087	 1.293 
631088	 235 
631089	 237 
631090	 224 
631092	 240 
631093	 238 
631095	 1.275 
631096	 1.304 
631097	 241 
631098	 236 
631099	 241 
631100	 1.300 
632003	 239 
633003	 203 
633004	 235 
633015	 235 
633016	 240 
633017	 240 
633024	 220 
633030	 200 
633032	 200 
633033	 200 
633034	 200 
633038	 201 
633040	 200 
633043	 200 
633045	 200 
633049	 200 
633054	 230 
633056	 200 
633057	 201 
633058	 201 
633059	 201 
633063	 239 
633066	 239 
633073	 229 
633074	 238 
633079	 202 
633083	 230 
635403	 1 
635404	 1 
635405	 1 
635407	 1 
635408	 1 
635409	 1 
635410	 1 
635412	 1 
635417	 1 
635418	 1 
635420	 1 
635439	 13 
635442	 13 
635443	 7 
635447	 1 
635448	 1 
635449	 1 
635450	 6 
635454	 6 
635458	 1 
635459	 1 
635466	 1 
635467	 1 
635468	 1 
635477	 1 
635478	 1 
635479	 1 
635480	 1 
635481	 1 
635482	 1 
635483	 3 
635485	 3 
635486	 3 
635487	 3 
635488	 3 
635489	 3 
635490	 3 
635491	 3 
635554	 8 
635555	 8 
635556	 8 
635557	 8 
635558	 8 
635559	 8 
635560	 1 
635561	 1 
635563	 13 
635565	 1 
635566	 13 
635567	 14 
636002	 238 
636014	 220 
636015	 220 
636017	 211 
636019	 220 
639022	 18 
639030	 18 
640001	 235 
640005	 238 
640011	 240 
640022	 238 
640024	 238 
640025	 220 
640026	 238 
640036	 200 
640037	 220 
640039	 241 
640042	 239 
640045	 238 
640046	 221 
640047	 215 
640048	 225 
640050	 200 
640052	 239 
640053	 237 
640055	 240 
640056	 240 
640057	 239 
640058	 238 
640059	 238 
640060	 238 
640061	 237 
640062	 236 
640064	 239 
640065	 210 
640066	 238 
640067	 238 
640068	 238 
640069	 240 
640070	 240 
640073	 238 
640076	 210 
640077	 239 
640085	 20 
640086	 238 
640101	 238 
640103	 241 
640106	 222 
640107	 224 
640113	 1.101 
640115	 238 
640201	 307 
640203	 225 
640207	 304 
640208	 307 
640209	 307 
640215	 307 
640221	 307 
640223	 240 
640224	 275 
640225	 1.600 
644004	 18 
644006	 18 
644010	 18 
644013	 18 
644023	 18 
644025	 18 
644028	 18 
644031	 18 
644032	 18 
647001	 238 
647004	 220 
647005	 224 
647006	 235 
648001	 239 
648008	 200 
648011	 222 
648012	 237 
648013	 220 
648017	 238 
648018	 229 
648022	 238 
648025	 239 
648031	 239 
648039	 220 
648040	 220 
648041	 211 
648042	 220 
648043	 228 
648047	 210 
648048	 239 
648055	 238 
648057	 220 
648058	 220 
648059	 220 
648062	 235 
648064	 235 
648065	 221 
648066	 239 
648104	 225 
648106	 238 
648107	 224 
648110	 238 
648111	 238 
648114	 238 
648115	 238 
648116	 238 
648117	 236 
648119	 1.110 
648121	 238 
648122	 237 
670502	 304 
670504	 300 
670512	 221 
670514	 221 
670517	 220 
670521	 300 
670522	 300 
670524	 300 
670526	 307 
670527	 237 
670528	 300 
670532	 300 
670533	 300 
670701	 267 
670703	 260 
670706	 260 
670707	 290 
670801	 200 
670804	 300 
648005	 232 
640019	 221 
636022	 219 
633078	 230 
640034	 220 
633087	 239 
648120	 200 
633062	 249 
633076	 230 
648105	 220 
631057	 248 
640063	 220 
631039	 219 
631103	 239 
633080	 227 
631082	 219 
640033	 251 
636023	 200 
633077	 229 
633086	 221 
633085	 231 
648053	 221 
633067	 239
648020	 237
633089	 230
